Study,Study type,Author position,Demographic,Demographic category,Total manuscripts,Time data,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,18,21.25925926,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,144,20.36829837,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,732,21.00422374,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,66,20.86742424,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,North America,520,20.91473243,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,162,20.41409465,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Africa,20,20.575,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Asia,155,20.36580087,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Europe,749,21.06068719,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Latin America,77,20.8474026,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,North America,539,20.90143035,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,First,Continent,Oceania,165,20.71767677,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Africa,18,22.10185185,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Asia,135,20.48072139,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Europe,769,20.9375,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Latin America,71,20.3797619,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,North America,578,20.98724638,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Last,Continent,Oceania,185,20.78333333,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,Average of days to review (time from accept to submitting review)
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,18,60.42168982,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,144,64.04415558,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,732,62.2016276,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,66,59.07092222,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,520,63.52226427,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,162,60.70950418,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,First,Continent,Africa,20,60.17427764,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,First,Continent,Asia,155,64.52568154,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,First,Continent,Europe,749,61.81685217,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,First,Continent,Latin America,77,59.85055718,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,First,Continent,North America,539,63.98248704,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,First,Continent,Oceania,165,60.81286045,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Last,Continent,Africa,18,57.88916988,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Last,Continent,Asia,135,64.0093152,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Last,Continent,Europe,769,62.33296699,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Last,Continent,Latin America,71,59.58957036,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Last,Continent,North America,578,63.96127126,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Last,Continent,Oceania,185,60.03978781,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,39,8.445911738,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,334,5.674327262,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,692,6.283479109,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,102,6.472011548,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,361,8.196459249,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,126,8.762587602,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,First,Continent,Africa,43,8.407081291,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,First,Continent,Asia,350,5.636867144,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,First,Continent,Europe,717,6.341987601,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,First,Continent,Latin America,111,7.138333806,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,First,Continent,North America,366,8.246875509,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,First,Continent,Oceania,130,8.667185571,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Last,Continent,Africa,44,7.292539727,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Last,Continent,Asia,334,5.366351989,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Last,Continent,Europe,737,6.474611826,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Last,Continent,Latin America,102,6.693818144,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Last,Continent,North America,394,8.452647494,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Burns and Fox (2017),Observational,Last,Continent,Oceania,134,8.739591841,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,
Fox et al. (2016),Observational,Corresponding,Gender,Female,629,20.71445687,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Corresponding,Gender,Male,1062,20.93271955,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,First,Gender,Female,753,20.766,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,First,Gender,Male,1004,20.998335,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Last,Gender,Female,389,20.85578584,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Last,Gender,Male,1339,20.86773872,2012,Life sciences,Ecology & Evolution,4.861,Time of peer review,
Fox et al. (2016),Observational,Corresponding,Gender,Female,629,61.94470383,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Corresponding,Gender,Male,1062,62.86312315,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Female,753,62.37855043,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Male,1004,62.72116054,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Female,389,63.34021712,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Male,1339,62.43521427,2012,Life sciences,Ecology & Evolution,4.861,Time to decision,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Corresponding,Gender,Female,630,7.059781442,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Corresponding,Gender,Male,1044,6.863978202,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Female,736,7.049384475,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Male,992,6.903655066,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Female,463,6.933440659,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Male,1201,6.965792253,2012,Life sciences,Ecology & Evolution,4.861,Time to desk rejection,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors, time of review (this dataset), etc., and looks at impacts of assessor diversity on author outcomes by author gender"
Petty et al. (1999),Observational,Corresponding,Gender,Female,204,16.1503268,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Gender,Male,526,15.72488038,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Prestige (author),Not prestigious,548,15.08962264,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Prestige (author),Prestigious,197,17.0625,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Gender,Female,221,15.21969697,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Gender,Male,503,17.43859649,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Prestige (author),Not prestigious,581,15.15625,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,First,Prestige (author),Prestigious,168,17.32374101,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Prestige (institution),High prestige,201,16.46794872,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Prestige (institution),Low prestige,341,16.15789474,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
Petty et al. (1999),Observational,Corresponding,Prestige (institution),Middle prestige,204,14.25766871,1988.75,Health sciences,Health sciences,1.757,Time to post review decision,
