Study,Study type,Author position,Demographic,Demographic.category,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender,Male,0.647332996,0,1,0.647332996,4213,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.648885828,0,1,0.648885828,10180,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.659874193,0,1,0.659874193,1202,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.590554501,0,1,0.590554501,124,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.604852861,0,1,0.604852861,116,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.641286217,0,1,0.641286217,5101,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.642388003,0,1,0.642388003,10810,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.656162122,0,1,0.656162122,1485,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.555283757,0,1,0.555283757,146,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.58038129,0,1,0.58038129,116,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.639373685,0,1,0.639373685,1854,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.698275885,0,1,0.698275885,9854,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.644563924,0,1,0.644563924,7247,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.660736543,0,1,0.660736543,11617,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.630889137,0,1,0.630889137,4184,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.650013049,0,1,0.650013049,3094,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.654837023,0,1,0.654837023,1607,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.629942172,0,1,0.629942172,2231,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.689821943,0,1,0.689821943,11059,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.642218052,0,1,0.642218052,8519,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.660091635,0,1,0.660091635,13286,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.635773247,0,1,0.635773247,4716,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.649627375,0,1,0.649627375,3315,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.663482036,0,1,0.663482036,1544,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.636001399,0,1,0.636001399,6898,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.645448491,0,1,0.645448491,5333,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.649606043,0,1,0.649606043,1670,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.563112394,0,1,0.563112394,83,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.553174603,0,1,0.553174603,90,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.638073347,0,1,0.638073347,5811,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.650747184,0,1,0.650747184,4408,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.656244447,0,1,0.656244447,1324,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.608053221,0,1,0.608053221,70,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.580771549,0,1,0.580771549,79,NA,NA,NA,NA,NA,Double,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.615261336,0,1,0.615261336,1520,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.674748886,0,1,0.674748886,6135,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.648505353,0,1,0.648505353,4932,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.66317923,0,1,0.66317923,10132,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.630550964,0,1,0.630550964,2838,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.649624354,0,1,0.649624354,1493,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.659134119,0,1,0.659134119,540,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.617207886,0,1,0.617207886,1048,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.687481563,0,1,0.687481563,4551,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.650197586,0,1,0.650197586,3349,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.664549847,0,1,0.664549847,7845,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.624617134,0,1,0.624617134,2117,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.644467646,0,1,0.644467646,1205,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.639093058,0,1,0.639093058,475,NA,NA,NA,NA,NA,Single,NA,2013,Health sciences,Health sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.627151378,0,1,0.627151378,530,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.626641892,0,1,0.626641892,1135,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.587108917,0,1,0.587108917,162,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.603835458,0,1,0.603835458,514,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.589173808,0,1,0.589173808,247,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
