Study,Study type,Author position,Demographic,Demographic.category,Reviewer ordinal scores,Min value,Max value,Reviewer_rescaled,Total manuscripts,Accept,Minor revision,Major revision,Reject with invitation to resubmit,Reject,Blinding format,Blinding,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Squazzoni et al. (2021),Observational,First,Gender,Male,0.646367954,0,1,0.646367954,351,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.614654894,0,1,0.614654894,563,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.633428801,0,1,0.633428801,1224,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.60188313,0,1,0.60188313,239,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.593604846,0,1,0.593604846,672,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.593424875,0,1,0.593424875,310,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.649990415,0,1,0.649990415,434,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.642879542,0,1,0.642879542,2342,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.599474761,0,1,0.599474761,3790,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.618977152,0,1,0.618977152,3308,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.636127476,0,1,0.636127476,1143,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.589215667,0,1,0.589215667,1691,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.610985627,0,1,0.610985627,624,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.640959893,0,1,0.640959893,105,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Male,0.673994806,0,1,0.673994806,120,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.631586993,0,1,0.631586993,2474,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.591535212,0,1,0.591535212,4126,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.617117131,0,1,0.617117131,3772,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.630327846,0,1,0.630327846,1365,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.593152779,0,1,0.593152779,2164,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.634403295,0,1,0.634403295,756,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.654987228,0,1,0.654987228,141,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Male,0.656254706,0,1,0.656254706,155,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.628151356,0,1,0.628151356,384,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.636353393,0,1,0.636353393,948,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.598902158,0,1,0.598902158,139,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.577550204,0,1,0.577550204,310,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.602319834,0,1,0.602319834,146,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.655639592,0,1,0.655639592,179,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.63254167,0,1,0.63254167,327,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.633727101,0,1,0.633727101,815,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.552134106,0,1,0.552134106,60,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.585839159,0,1,0.585839159,144,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.576581829,0,1,0.576581829,71,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.619270785,0,1,0.619270785,91,NA,NA,NA,NA,NA,Double,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.646687764,0,1,0.646687764,1181,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.608581337,0,1,0.608581337,2178,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.620315097,0,1,0.620315097,1960,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.661245984,0,1,0.661245984,924,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.6257656,0,1,0.6257656,1464,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.680751001,0,1,0.680751001,684,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.680510228,0,1,0.680510228,95,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,0.673549069,0,1,0.673549069,95,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.65651095,0,1,0.65651095,763,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,1,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.619800362,0,1,0.619800362,1532,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,2,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.618663439,0,1,0.618663439,1340,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,3,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.662623742,0,1,0.662623742,676,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,4,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.635671324,0,1,0.635671324,875,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,5,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.666225668,0,1,0.666225668,511,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,6,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.669720467,0,1,0.669720467,67,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,7,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,0.689128682,0,1,0.689128682,44,NA,NA,NA,NA,NA,Single,NA,2013,Life sciences,Life sciences,8,Reviewer scores,"Study uses combined recommendations across reviewers for the same manuscript. The study uses 0 = worst to 1 = best, so we reverse coded it to reconcile with other studies. Unclear if journals included have optional or mandatory double-blind"
Alam et al. (2011),Experiment,Corresponding,Nationalism,United States,1.807692308,1,3,0.403846154,52,20,NA,22,NA,10,Single,Required_double,2007.5,Health Sciences,Health Sciences,2.174,Reviewer scores,"Reviewers and journal all US-based. ""1 = accept, 2 = revise (i.e. minor or major revisions) and 3 = reject."" Experimentally did double-blind on half the manuscripts"
Alam et al. (2011),Experiment,Corresponding,Nationalism,United States,1.711538462,1,3,0.355769231,52,21,NA,25,NA,6,Double,Required_double,2007.5,Health Sciences,Health Sciences,2.174,Reviewer scores,"Reviewers and journal all US-based. ""1 = accept, 2 = revise (i.e. minor or major revisions) and 3 = reject."" Experimentally did double-blind on half the manuscripts"
Alam et al. (2011),Experiment,Corresponding,Nationalism,Non-United States,2,1,3,0.5,28,6,NA,16,NA,6,Single,Required_double,2007.5,Health Sciences,Health Sciences,2.174,Reviewer scores,"Reviewers and journal all US-based. ""1 = accept, 2 = revise (i.e. minor or major revisions) and 3 = reject."" Experimentally did double-blind on half the manuscripts"
Alam et al. (2011),Experiment,Corresponding,Nationalism,Non-United States,1.857142857,1,3,0.428571429,28,9,NA,14,NA,5,Double,Required_double,2007.5,Health Sciences,Health Sciences,2.174,Reviewer scores,"Reviewers and journal all US-based. ""1 = accept, 2 = revise (i.e. minor or major revisions) and 3 = reject."" Experimentally did double-blind on half the manuscripts"
