Study,Study type,Author position,Demographic,Demographic category,Total manuscripts,N.reviewers,Year,Category,Subcategory,Journal impact factor,Stage,Notes
Burns and Fox (2017),Observational,Corresponding,Continent,Africa,18,2.277777778,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Asia,144,2.229166667,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Europe,732,2.326502732,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Latin America,66,2.287878788,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,North America,520,2.313461538,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Corresponding,Continent,Oceania,162,2.308641975,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Africa,20,2.3,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Asia,155,2.270967742,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Europe,749,2.32176235,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Latin America,77,2.311688312,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,North America,539,2.306122449,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,First,Continent,Oceania,165,2.303030303,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Africa,18,2.222222222,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Asia,135,2.259259259,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Europe,769,2.313394018,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Latin America,71,2.23943662,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,North America,578,2.328719723,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Burns and Fox (2017),Observational,Last,Continent,Oceania,185,2.351351351,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,
Edwards et al. (2018),Observational,First,Continent,Africa,46,1.39,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,First,Continent,North America,1051,1.38,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to. This study used “Americas” rather than Latin and North America. We reclassified to North America since other datasets that do separate them show that papers from North America are a much bigger share
Edwards et al. (2018),Observational,First,Continent,Asia,385,1.25,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,First,Continent,Europe,1664,1.37,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,First,Continent,Oceania,202,1.38,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,First,Gender,Z_Female,1115,1.4,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,First,Gender,Male,1525,1.35,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,Last,Gender,Z_Female,661,1.36,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Edwards et al. (2018),Observational,Last,Gender,Male,2013,1.37,2014,Life sciences,Ecology & Evolution,3.232,Number of reviewers,There is some uncertainty in the dataset regarding exactly how many papers went into review because it had no meta-data or clear markings for which review stage rows corresponded to
Fox et al. (2016),Observational,Corresponding,Gender,Z_Female,629,2.314785374,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors; time of review, etc.; and looks at assessor diversity impacts on author outcomes by author gender"
Fox et al. (2016),Observational,Corresponding,Gender,Male,1062,2.313559322,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors; time of review, etc.; and looks at assessor diversity impacts on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Z_Female,753,2.321381142,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors; time of review, etc.; and looks at assessor diversity impacts on author outcomes by author gender"
Fox et al. (2016),Observational,First,Gender,Male,1004,2.309760956,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors; time of review, etc.; and looks at assessor diversity impacts on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Z_Female,389,2.331619537,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors; time of review, etc.; and looks at assessor diversity impacts on author outcomes by author gender"
Fox et al. (2016),Observational,Last,Gender,Male,1339,2.310679612,2012,Life sciences,Ecology & Evolution,4.861,Number of reviewers,"The author gender data for Fox et al. (2016) are apparently nested within Fox and Paine (2019) except that Fox et al. (2016) provide data on if the manuscript was sent to Associate Editors; time of review, etc.; and looks at assessor diversity impacts on author outcomes by author gender"
Goldstone et al. (2020),Observational,First,Gender,Z_Female,470,2,2016.5,Health sciences,Health sciences,2.845,Number of reviewers,"Had data on internal and external reviews but seems to be able to entirely bypass the external reviewer stage, so it doesn't really chart onto the other journal models in the study. They classified papers as female if first and/or corresponding authors were female. They had 470 papers that had first and/or corresponding female authors. Women were first authors of 424 (90.2%) and corresponding on 371 (78.9%). They don’t provide summaries for just first or just corresponding (only and/or). The first author was the same as the corresponding author for 820/1300 (63%) manuscripts they included. We used FIRST author due to the higher overlap. "
Goldstone et al. (2020),Observational,First,Gender,Male,830,2,2016.5,Health sciences,Health sciences,2.845,Number of reviewers,"Had data on internal and external reviews but seems to be able to entirely bypass the external reviewer stage, so it doesn't really chart onto the other journal models in the study. They classified papers as female if first and/or corresponding authors were female. They had 470 papers that had first and/or corresponding female authors. Women were first authors of 424 (90.2%) and corresponding on 371 (78.9%). They don’t provide summaries for just first or just corresponding (only and/or). The first author was the same as the corresponding author for 820/1300 (63%) manuscripts they included. We used FIRST author due to the higher overlap. "
Lane and Linden (2009),Observational,First,Gender,Z_Female,189,2.470899,2007,Health sciences,Health sciences,3.684,Number of reviewers,
Lane and Linden (2009),Observational,First,Gender,Male,517,2.417795,2007,Health sciences,Health sciences,3.684,Number of reviewers,
Lane and Linden (2009),Observational,Last,Gender,Z_Female,120,2.5,2007,Health sciences,Health sciences,3.684,Number of reviewers,
Lane and Linden (2009),Observational,Last,Gender,Male,586,2.418089,2007,Health sciences,Health sciences,3.684,Number of reviewers,
Petty et al. (1999),Observational,Corresponding,Gender,Z_Female,204,2.171568627,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind.
Petty et al. (1999),Observational,Corresponding,Gender,Male,526,2.233840304,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,First,Gender,Z_Female,221,2.149321267,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,First,Gender,Male,503,2.242544732,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,Corresponding,Prestige_author,Not prestigious,548,2.198905109,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,Corresponding,Prestige_author,Prestigious,197,2.263959391,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,First,Prestige_author,Not prestigious,581,2.203098107,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,First,Prestige_author,Prestigious,168,2.255952381,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,Journal is double-blind
Petty et al. (1999),Observational,Corresponding,Prestige_institution,High prestige,201,2.194029851,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,"Journal is double-blind. The prestige bins were assigned by having low = not in the top 185 list, middle = bottom 50% of the listed institutions, and high = top 50% of the listed institutions. "
Petty et al. (1999),Observational,Corresponding,Prestige_institution,Low prestige,341,2.214076246,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,"Journal is double-blind. The prestige bins were assigned by having low = not in the top 185 list, middle = bottom 50% of the listed institutions, and high = top 50% of the listed institutions. "
Petty et al. (1999),Observational,Corresponding,Prestige_institution,Middle prestige,204,2.245098039,1988.75,Health sciences,Health sciences,1.757,Number of reviewers,"Journal is double-blind. The prestige bins were assigned by having low = not in the top 185 list, middle = bottom 50% of the listed institutions, and high = top 50% of the listed institutions. "
Santos de Barros et al. (2021),Observational,First,Gender,Z_Female,113,2.389380531,2019,Life sciences,Other Biological Science,0.573,Number of reviewers,Journal is double-blind
Santos de Barros et al. (2021),Observational,First,Gender,Male,153,2.202614379,2019,Life sciences,Other Biological Science,0.573,Number of reviewers,Journal is double-blind
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1520,2.113815789,2013,Health sciences,Health sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,6135,1.990220049,2013,Health sciences,Health sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,4932,2.048256285,2013,Health sciences,Health sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,10132,2.200651402,2013,Health sciences,Health sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2838,2.338971106,2013,Health sciences,Health sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1493,2.017414601,2013,Health sciences,Health sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,540,2.174074074,2013,Health sciences,Health sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1181,2.032176122,2013,Life sciences,Life sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,2178,1.83241506,2013,Life sciences,Life sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1960,2.113265306,2013,Life sciences,Life sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,924,2.272727273,2013,Life sciences,Life sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,1464,2.55942623,2013,Life sciences,Life sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,684,2.286549708,2013,Life sciences,Life sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,95,2.136842105,2013,Life sciences,Life sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Z_Female,95,1.863157895,2013,Life sciences,Life sciences,8,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1854,2.093311758,2013,Health sciences,Health sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,9854,1.965496245,2013,Health sciences,Health sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,7247,2.009797157,2013,Health sciences,Health sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,11617,2.131359215,2013,Health sciences,Health sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,4184,2.194550669,2013,Health sciences,Health sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,3094,2.061085973,2013,Health sciences,Health sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1607,2.210329807,2013,Health sciences,Health sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,2342,2.105038429,2013,Life sciences,Life sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,3790,1.920580475,2013,Life sciences,Life sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,3308,2.129081016,2013,Life sciences,Life sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1143,2.339457568,2013,Life sciences,Life sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,1691,2.46481372,2013,Life sciences,Life sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,624,2.121794872,2013,Life sciences,Life sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,105,2.104761905,2013,Life sciences,Life sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,First,Gender,Male,120,1.833333333,2013,Life sciences,Life sciences,8,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1048,2.048664122,2013,Health sciences,Health sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,4551,1.98857394,2013,Health sciences,Health sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,3349,2.020005972,2013,Health sciences,Health sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,7845,2.20917782,2013,Health sciences,Health sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,2117,2.317430326,2013,Health sciences,Health sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1205,2.021576763,2013,Health sciences,Health sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,475,2.197894737,2013,Health sciences,Health sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,763,2.017038008,2013,Life sciences,Life sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1532,1.825065274,2013,Life sciences,Life sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,1340,2.126119403,2013,Life sciences,Life sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,676,2.26035503,2013,Life sciences,Life sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,875,2.577142857,2013,Life sciences,Life sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,511,2.242661448,2013,Life sciences,Life sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,67,2.104477612,2013,Life sciences,Life sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Z_Female,44,1.795454545,2013,Life sciences,Life sciences,8,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,2231,2.118332586,2013,Health sciences,Health sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,11059,1.962383579,2013,Health sciences,Health sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,8519,2.033572015,2013,Health sciences,Health sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,13286,2.136534698,2013,Health sciences,Health sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,4716,2.216284987,2013,Health sciences,Health sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,3315,2.034690799,2013,Health sciences,Health sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1544,2.198186528,2013,Health sciences,Health sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,2474,2.112368634,2013,Life sciences,Life sciences,1,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,4126,1.91032477,2013,Life sciences,Life sciences,2,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,3772,2.109225875,2013,Life sciences,Life sciences,3,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,1365,2.345054945,2013,Life sciences,Life sciences,4,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,2164,2.482902033,2013,Life sciences,Life sciences,5,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,756,2.185185185,2013,Life sciences,Life sciences,6,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,141,2.134751773,2013,Life sciences,Life sciences,7,Number of reviewers,Only using single-blind journals here
Squazzoni et al. (2021),Observational,Last,Gender,Male,155,1.870967742,2013,Life sciences,Life sciences,8,Number of reviewers,Only using single-blind journals here
